ID_0,ISO,NAME_0,ID_1,NAME_1,FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,1__sum,2__sum,3__sum
ID_0,ISO,NAME_0,ID_1,NAME_1,FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003",,,
"177",PRY,Paraguay,"1",Ñeembucú,"1099179","1099179","1099179","1097604","1096344","1095633","1094085","1090980","1089153","1088514","1087731","1087398","1086876","1086822","1086417","1084608","1080783","1080873","1081251","1081305","1081125","1081494","1081665","1081656","0","0","1575","1260","711","1548","3105","1827","639","783","333","522",122131.000000000000000,122131.000000000000000,138812.000000000000000
"177",PRY,Paraguay,"2",Alto Paraguay,"7324992","7324992","7324992","7303977","7296408","7279425","7253442","7201674","7175862","7095573","7049727","6996006","6973533","6947388","6927354","6909687","6902775","6886872","6858810","6843996","6832323","6821091","6809400","6809400","0","0","21015","7569","16983","25983","51768","25812","80289","45846","53721","22473",813888.000000000000000,813888.000000000000000,138812.000000000000000
"177",PRY,Paraguay,"3",Alto Paraná,"670581","670518","670428","622791","616662","603981","591066","585981","585684","569637","560646","556326","552915","547704","544545","541737","542079","541611","539055","537408","537147","536148","534951","534924","63","63","47637","6129","12681","12915","5085","297","16047","8991","4320","3411",74509.000000000000000,74502.000000000000000,138812.000000000000000
"177",PRY,Paraguay,"4",Amambay,"719469","719460","719460","702900","705690","705771","710901","716742","722817","719226","718092","713763","712737","710631","708084","706158","703980","700533","699381","698247","696897","696177","698445","698445","9","9","16560","-2790","-81","-5130","-5841","-6075","3591","1134","4329","1026",79941.000000000000000,79940.000000000000000,138812.000000000000000
"177",PRY,Paraguay,"5",Asunción,"2637","2637","2637","2637","2637","2637","2628","2628","2628","2457","2439","2439","2439","2412","2403","2403","2394","2421","2412","2376","2376","2367","2367","2367","0","0","0","0","0","9","0","0","171","18","0","0",293.000000000000000,293.000000000000000,138812.000000000000000
"177",PRY,Paraguay,"6",Boquerón,"8082207","8082207","8082198","7977321","7968114","7944480","7906545","7821000","7776918","7700265","7661304","7613046","7581816","7536699","7507755","7473294","7452270","7413732","7352262","7322031","7281225","7263378","7226082","7226082","0","0","104877","9207","23634","37935","85545","44082","76653","38961","48258","31230",898023.000000000000000,898023.000000000000000,138812.000000000000000
"177",PRY,Paraguay,"7",Caaguazú,"706860","706851","706842","683667","683073","679545","672723","667440","664479","655857","648486","644310","639342","635607","632151","629505","628110","625743","624573","621648","621054","620496","620019","619992","9","9","23175","594","3528","6822","5283","2961","8622","7371","4176","4968",78540.000000000000000,78539.000000000000000,138812.000000000000000
"177",PRY,Paraguay,"8",Caazapá,"722619","722619","722619","690714","688185","685269","681921","670734","668520","659313","656793","654066","651222","648837","646605","644994","643518","642330","640341","638748","638775","638613","639828","639828","0","0","31905","2529","2916","3348","11187","2214","9207","2520","2727","2844",80291.000000000000000,80291.000000000000000,138812.000000000000000
"177",PRY,Paraguay,"9",Canindeyú,"808740","808740","808740","777213","771795","762768","758619","757359","760068","749574","740295","733419","729144","722385","716310","711342","707922","701613","696753","694809","694323","693531","692127","692127","0","0","31527","5418","9027","4149","1260","-2709","10494","9279","6876","4275",89860.000000000000000,89860.000000000000000,138812.000000000000000
"177",PRY,Paraguay,"10",Central,"167301","167238","167193","167112","166689","165420","162747","160506","154917","150948","149265","148779","148536","148221","147870","147465","146736","146736","146403","146115","145953","145899","145404","145368","63","63","81","423","1269","2673","2241","5589","3969","1683","486","243",18589.000000000000000,18582.000000000000000,138812.000000000000000
"177",PRY,Paraguay,"11",Concepción,"1409346","1409346","1409346","1416969","1424511","1425987","1430460","1434330","1436472","1435032","1432215","1427742","1426095","1423017","1421091","1420263","1417221","1416591","1415619","1413648","1413999","1413144","1412793","1412793","0","0","-7623","-7542","-1476","-4473","-3870","-2142","1440","2817","4473","1647",156594.000000000000000,156594.000000000000000,138812.000000000000000
"177",PRY,Paraguay,"12",Cordillera,"362016","362016","362016","360810","360180","359775","358614","358407","356481","355887","354231","353808","352935","353088","352548","350973","350064","349101","348588","347661","347553","347508","346428","346428","0","0","1206","630","405","1161","207","1926","594","1656","423","873",40224.000000000000000,40224.000000000000000,138812.000000000000000
"177",PRY,Paraguay,"13",Guairá,"239661","239652","239652","237096","237879","237879","237951","237771","237699","236304","235602","235485","235242","235179","234873","234018","234036","233892","233730","233865","234054","234054","234369","234369","9","9","2556","-783","0","-72","180","72","1395","702","117","243",26629.000000000000000,26628.000000000000000,138812.000000000000000
"177",PRY,Paraguay,"14",Itapúa,"1064835","1064808","1064799","1009476","1005813","990945","971334","929394","926865","914940","913068","910935","909792","909144","907029","904167","900252","898506","891117","886941","887229","886905","886455","886437","27","27","55323","3663","14868","19611","41940","2529","11925","1872","2133","1143",118315.000000000000000,118312.000000000000000,138812.000000000000000
"177",PRY,Paraguay,"15",Misiones,"606042","606042","606042","604710","602316","600876","588870","586314","581958","581328","581211","581013","580518","580230","579897","578736","575469","574704","574092","573165","573111","573057","573237","573237","0","0","1332","2394","1440","12006","2556","4356","630","117","198","495",67338.000000000000000,67338.000000000000000,138812.000000000000000
"177",PRY,Paraguay,"16",Paraguarí,"507321","507321","507321","506277","505188","502650","497925","496341","492759","492462","491760","491490","491571","491328","491085","489069","487683","487350","486900","485523","485190","485109","484020","484020","0","0","1044","1089","2538","4725","1584","3582","297","702","270","-81",56369.000000000000000,56369.000000000000000,138812.000000000000000
"177",PRY,Paraguay,"17",Presidente Hayes,"6374412","6374412","6374412","6318018","6312528","6292269","6273405","6210360","6192459","6158844","6150924","6139638","6149367","6137316","6135975","6126372","6123510","6122583","6118884","6117291","6120180","6122412","6134625","6134616","0","0","56394","5490","20259","18864","63045","17901","33615","7920","11286","-9729",708268.000000000000000,708268.000000000000000,138812.000000000000000
"177",PRY,Paraguay,"18",San Pedro,"1249308","1249308","1249308","1237374","1239543","1239327","1248912","1254780","1264491","1256499","1249677","1246734","1246104","1241469","1235142","1226970","1222704","1211058","1208574","1204767","1203426","1200105","1200393","1200384","0","0","11934","-2169","216","-9585","-5868","-9711","7992","6822","2943","630",138812.000000000000000,138812.000000000000000,138812.000000000000000
